법정동,견인수,pc방수,카페수,따릉이대여소수,기숙사고시원수,독서실수,약국수,편의점수,숙박업,학원수,병원수,부동산수,양식집,한식집,중식,일식,음식점전체수,동물병원수,아파트수,버스정류장수
공덕동,403,1,66,81,5,3,17,22,4,67,22,85,12,180,12,22,352,3,17,22
구수동,23,0,4,0,0,0,0,2,0,8,3,6,0,16,1,0,34,2,1,5
노고산동,47,2,45,60,19,2,10,19,26,57,30,49,8,65,9,5,154,3,2,15
당인동,32,1,4,10,0,0,0,2,1,3,0,2,0,2,9,0,8,0,0,1
대흥동,216,0,46,56,7,5,15,14,3,104,10,69,13,74,26,10,185,1,8,23
도화동,272,1,69,36,1,2,16,27,11,90,27,66,16,169,26,30,442,2,13,37
동교동,1039,3,134,72,5,5,15,29,83,165,46,74,45,136,26,38,467,2,1,15
마포동,79,0,6,10,0,0,1,6,3,9,1,9,2,11,1,1,27,0,4,2
망원동,537,7,200,62,1,3,18,45,5,119,19,102,62,201,22,33,573,5,49,53
상수동,274,1,160,45,4,2,5,13,3,34,1,37,35,70,11,28,174,1,4,18
상암동,288,3,159,418,0,3,17,49,2,98,24,71,35,251,30,55,570,3,17,85
서교동,1798,6,386,68,25,7,17,80,85,278,37,142,137,417,54,142,1404,7,6,53
성산동,291,2,96,304,2,8,12,50,13,118,6,95,19,150,17,24,375,4,14,57
신공덕동,26,0,15,5,1,0,7,7,1,15,4,24,2,13,3,5,52,0,13,8
신수동,187,4,52,70,6,5,5,13,3,49,4,49,11,49,7,5,145,0,11,22
신정동,23,0,215,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,1,1
아현동,138,0,29,39,4,1,13,14,1,50,27,73,2,68,4,9,149,3,9,20
연남동,374,1,257,35,5,3,2,28,132,70,6,54,122,123,32,73,650,0,3,22
염리동,239,0,38,5,1,4,5,16,4,53,4,61,6,55,3,9,134,2,8,13
용강동,148,2,11,37,2,1,3,10,0,20,0,24,8,70,4,10,137,1,7,9
중동,46,0,9,17,0,0,6,7,0,16,3,11,1,12,1,1,41,0,9,8
창전동,98,1,34,55,6,3,3,15,7,45,2,22,11,28,3,5,106,0,12,38
토정동,16,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
하중동,12,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0,3,0,1,2
합정동,578,1,126,67,4,1,7,28,19,98,9,86,51,136,11,46,439,1,11,27
현석동,81,0,1,15,0,0,0,1,0,5,0,9,0,4,0,1,8,0,5,1
