동 이름,견인수,PC방수,카페수,기숙사수,약국수,편의점수,학원수,병원수,동물병원수,정류장수,지하철역수,숙박업소수,고등학교수,일식,중식,양식,한식,전체음식점수,따릉이대여소수
풍납동,22,2,42,10,38,20,42,9,2,31,0,1,1,3,8,3,93,240,134
거여동,42,6,44,3,18,32,66,31,5,41,1,4,1,7,3,6,93,255,185
마천동,30,7,32,3,21,32,30,14,3,25,1,3,0,4,8,9,154,348,90
방이동,185,11,132,28,35,74,176,47,6,47,5,38,4,65,35,37,357,993,304
오금동,91,6,73,2,12,35,79,12,7,28,2,0,2,13,8,9,119,327,198
송파동,126,1,141,10,26,50,106,25,8,18,0,9,3,44,20,67,151,659,103
석촌동,70,7,90,15,29,46,74,25,5,18,2,8,0,21,23,25,210,600,54
삼전동,48,4,58,11,17,34,79,24,6,12,1,6,1,14,8,14,131,356,45
가락동,217,18,150,30,50,57,126,59,4,54,5,5,0,42,30,34,370,964,280
문정동,315,7,270,12,31,88,168,49,7,50,1,2,0,73,46,45,419,1230,341
장지동,99,3,24,0,10,19,78,14,3,51,2,0,3,6,10,10,35,158,218
잠실동,139,14,150,18,54,80,207,105,9,39,4,30,5,54,35,41,357,1067,345
신천동,37,0,64,0,32,28,51,38,2,19,4,1,0,25,14,33,94,339,212
