상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,경도,위도
MA010120220805542254,디더블유스테이3,,I1,숙박,I101,일반 숙박,I10103,펜션,기타 일반 및 생활 숙박시설 운영업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 566-52,서울특별시 마포구 연남로1길,서울특별시 마포구 연남로1길 8-12,126.9220484,37.56116116
MA010120220805805750,달하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 382-16,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 38,126.9256362,37.56117585
MA010120220805960452,주니스게스트하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 366-13,서울특별시 마포구 연남로7길,서울특별시 마포구 연남로7길 6,126.9198083,37.56423125
MA010120220806033644,빅베어하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 487-157,서울특별시 마포구 성미산로16길,서울특별시 마포구 성미산로16길 38,126.9181105,37.55953031
MA010120220806269911,로이하우스,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,기타 일반 및 생활 숙박시설 운영업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 229-45,서울특별시 마포구 동교로41길,서울특별시 마포구 동교로41길 14,126.9239904,37.56307106
MA010120220806397135,나로하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 566-4,서울특별시 마포구 동교로27길,서울특별시 마포구 동교로27길 60-5,126.9211956,37.56064879
MA010120220806465040,와이즈하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 567-33,서울특별시 마포구 월드컵북로6길,서울특별시 마포구 월드컵북로6길 89-9,126.9224649,37.56053424
MA010120220806566000,소쥬2,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 570-35,서울특별시 마포구 월드컵북로6길,서울특별시 마포구 월드컵북로6길 19-6,126.9196535,37.55849022
MA010120220806689818,저스트맨션1,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-35,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 33,126.9257221,37.561501
MA010120220806718478,넷플릭스엣홈2,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 566-22,서울특별시 마포구 연남로1길,서울특별시 마포구 연남로1길 24-8,126.9215917,37.56065241
MA010120220806742579,라일락,,I1,숙박,I101,일반 숙박,I10103,펜션,기타 일반 및 생활 숙박시설 운영업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 370-5,서울특별시 마포구 연남로7길,서울특별시 마포구 연남로7길 26,126.9188541,37.56368189
MA010120220806799803,씨오앤비,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 566-22,서울특별시 마포구 연남로1길,서울특별시 마포구 연남로1길 24-8,126.9215917,37.56065241
MA010120220806843809,다이브인,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 454-8,서울특별시 마포구 성미산로27길,서울특별시 마포구 성미산로27길 67,126.920175,37.56627095
MA010120220806892766,홍대애비뉴,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 568-47,서울특별시 마포구 동교로25길,서울특별시 마포구 동교로25길 54-8,126.9205699,37.55930053
MA010120220806907526,라이트하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 381-6,서울특별시 마포구 연희로1길,서울특별시 마포구 연희로1길 41,126.9256872,37.56077985
