상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,경도,위도
MA010120220805490161,리차드하우스연남,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 227-9,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 36,126.9265621,37.56212135
MA010120220805949342,에트나퓨,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 228-56,서울특별시 마포구 동교로38안길,서울특별시 마포구 동교로38안길 3,126.9246401,37.5619687
MA010120220806469938,풀스트릿,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 223-26,서울특별시 마포구 동교로51안길,서울특별시 마포구 동교로51안길 16,126.9246155,37.56525727
MA010120220806497767,로컬코드,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 228-7,서울특별시 마포구 동교로,서울특별시 마포구 동교로 266-7,126.9258012,37.56308755
MA010120220806701900,레이트체크아웃,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-10,서울특별시 마포구 동교로,서울특별시 마포구 동교로 262-9,126.9256239,37.56282463
MA010120220806763558,고릴라요정옆집,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 385-12,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 21,126.9258467,37.56228604
MA010120220806871171,더스트카멜,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 383-103,서울특별시 마포구 연희로1길,서울특별시 마포구 연희로1길 59,126.9264244,37.56146234
MA010120220807079828,태힐리아,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 260-45,서울특별시 마포구 동교로34길,서울특별시 마포구 동교로34길 8,126.9247911,37.56091586
MA010120220807152142,스필아웃,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 260-5,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 6-5,126.9248473,37.56172731
MA010120220807385817,수부니흐,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-42,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 35,126.9257922,37.56134846
