상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,경도,위도
MA010120220805545732,에이치엠커피,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 487-378,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 97,126.9181148,37.5615757
MA010120220805684539,벌스,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 246-22,서울특별시 마포구 성미산로23길,서울특별시 마포구 성미산로23길 44,126.9205744,37.56526544
MA010120220805730497,오버필커피,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-11,서울특별시 마포구 동교로,서울특별시 마포구 동교로 262-5,126.9255549,37.56289609
MA010120220805731051,별빛카페달빛차,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 509-13,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 128,126.9209706,37.56290834
MA010120220805950995,어반비치연남,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 258-9,서울특별시 마포구 동교로,서울특별시 마포구 동교로 245,126.9240309,37.561828
MA010120220806339890,원모어프로포즈,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 223-44,서울특별시 마포구 성미산로31길,서울특별시 마포구 성미산로31길 13,126.9255188,37.56462575
MA010120220806363718,피와이제이컴퍼니,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 223-88,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 171,126.9250151,37.56423372
MA010120220806386903,초연,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 564-10,서울특별시 마포구 월드컵북로8길,서울특별시 마포구 월드컵북로8길 23,126.918461,37.55955154
MA010120220806439358,낫낫커피,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 366-22,서울특별시 마포구 연남로7길,서울특별시 마포구 연남로7길 14,126.919505,37.56406629
MA010120220806497132,커피구름,,I2,음식,I212,비알코올 ,I21201,카페,기타 비알코올 음료점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 564-13,서울특별시 마포구 연남로3길,서울특별시 마포구 연남로3길 73-6,126.9189737,37.55932196
